id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00032,I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,0,0,1,0,0
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,1,0,0
eng_train_track_a_00034,"""I lost the towel.",0,1,0,0,0
eng_train_track_a_00035,Sets the power/entity free.,0,1,1,0,1
eng_train_track_a_00036,This is causing some of the puffiness in his face and sometimes causes a severe headache.,0,1,0,1,0
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1
eng_train_track_a_00038,I don't stop.,0,1,0,0,0
eng_train_track_a_00039,I got lie after lie.,1,1,0,1,0
eng_train_track_a_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1
eng_train_track_a_00041,"And I got ta tell you right here folks, that brings a tear to my eye.",0,0,1,1,0
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0
eng_train_track_a_00043,I've never met any of the other members but we all send each other x-mas cards &amp; random stuff.,0,0,1,0,1
eng_train_track_a_00044,The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,0,0,1,0,0
eng_train_track_a_00045,It was one of the most spiritual moments of my life.,0,0,1,0,1
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_a_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,1,0,1,0
eng_train_track_a_00048,"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?",0,1,0,0,1
eng_train_track_a_00049,"I started to grip my sheets, barely breathing as my mind raced and my eyes focused, not physically seeing anything out of the ordinary as the sirens wailed outside my apartment, the 35th floor should have been enough distance to drown out the sound, but it wasn't, and I shut my eyes, leaping to the lightswitch.",0,1,0,0,0
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0
eng_train_track_a_00051,painted on my face.,0,0,0,0,0
eng_train_track_a_00052,Nothing behind me either.,0,1,0,0,1
eng_train_track_a_00053,It felt so unreal...,0,1,0,0,1
eng_train_track_a_00054,She left the room and went downstairs.,0,0,0,0,0
eng_train_track_a_00055,All of it on top of my head.,0,1,0,0,0
eng_train_track_a_00056,I went into the closet to investigate and found nothing... /chills,0,1,0,0,1
eng_train_track_a_00057,I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,0,1,0,0,0
eng_train_track_a_00058,Break my heart a thousand times and I realized that sometimes it really still hurts...,0,0,0,1,0
eng_train_track_a_00059,"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.",0,1,0,1,0
eng_train_track_a_00060,"And then we have the ultimately retarded `` Spanish Lesson '' ( which I kind of like because it's so entertainingly bad ) and `` Incredible, '' which just flat-out gets on my nerves.",1,0,0,0,0
eng_train_track_a_00061,' I chanted in my head.,0,0,0,0,0
eng_train_track_a_00062,"Back to earth As I opened my eye, I was lying back on a hospital bed with my right leg elevated, cupped in the hands of the young Indian doctor who had been trying to save my life.",0,1,0,1,0
eng_train_track_a_00063,This expert also was the ex-husband of the murdered woman.,0,1,0,1,1
eng_train_track_a_00064,"I did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that I couldn't ignore it any longer.",1,1,0,0,0
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0
eng_train_track_a_00066,"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",0,0,1,0,1
eng_train_track_a_00067,"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",0,1,0,0,0
eng_train_track_a_00068,The effect was a feeling I've described as running my hand along a cheese grater.,0,1,0,1,0
eng_train_track_a_00069,asked a flustered girl that bumped into my arm.,0,1,0,0,0
eng_train_track_a_00070,A sharp stinging stripe across the backs of my legs.,0,1,0,1,0
eng_train_track_a_00071,I really have to watch my mouth.,0,0,0,0,0
eng_train_track_a_00072,"The Redmond Cycling Club that organizes this event, had made-to-order coldcut sandwiches and -- be still my heart -- ice-cold cans of Coca-Cola at the final aid station.",0,0,1,0,0
eng_train_track_a_00073,i was walking around cursing the day in my head.,1,1,0,1,0
eng_train_track_a_00074,I shook my head and willed every broken hearted thought to go away.,0,0,0,1,0
eng_train_track_a_00075,"i hope whatever i did do today, the two paper 2s adn the reading of the ntoes adn the definitaions i recited, stick in my head and i do nt forget anything: ( sigh.",0,1,0,1,0
eng_train_track_a_00076,"About 3 years ago I had a very vivid dream about my deceased aunt and uncle, Sylvia &amp; John.",0,0,0,1,1
eng_train_track_a_00077,"It could have been my eye -- but my glasses probably blocked that from happening, and diverted the injury higher up on my head.",0,1,0,0,1
eng_train_track_a_00078,`` I went to put my hand in my pockets and realised what they'd done.,0,1,0,0,0
eng_train_track_a_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0
eng_train_track_a_00080,I was never so happy to have my feet on solid ground though.,0,0,1,0,0
eng_train_track_a_00081,They don't seem to be evil or dangerous.,0,1,0,0,0
eng_train_track_a_00082,I always like to head out into the boonies after I have been away for a long time... to get my head straight.,0,0,1,0,0
eng_train_track_a_00083,Sage grabbed my toothbrush this morning and showed me how to brush my teeth.,0,0,0,0,0
eng_train_track_a_00084,"I trust this man even less than the woman, but I can't put my finger on it.",0,1,0,0,0
eng_train_track_a_00085,I guess i pointed to Jenny without hesitation.,0,0,0,0,0
eng_train_track_a_00086,We locked our door and kept our lights on the whole night and just watched movies until dawn.,0,1,0,0,0
eng_train_track_a_00087,Just doing something this stupid as a kid.,0,0,0,1,0
eng_train_track_a_00088,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0,1,0,1,1
eng_train_track_a_00089,It was as if everything was silent for just a second.,0,1,0,0,1
eng_train_track_a_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0
eng_train_track_a_00091,""" The man told her that he had and she said, ""Well, I might as well tell you the story.",0,0,0,0,1
eng_train_track_a_00092,"First, some background: i am a male, i live in Latvia, my father is a hunter and we occasionally go hunting during the weekends.",0,0,0,0,0
eng_train_track_a_00093,"Needless to say, I turned her down.",0,0,0,0,0
eng_train_track_a_00094,"After dragging myself through all of those sets, my stomach being upset, and my body feeling entirely fatigued $ the LAST thing I wanted to do was hop on the treadmill for some incline walking.",0,1,0,1,0
eng_train_track_a_00095,"The first five minutes I could feel my heart pounding in my chest, as our Q&A went on I got more relaxed.",0,1,1,0,0
eng_train_track_a_00096,And these were brutal wounds.,1,1,0,1,1
eng_train_track_a_00097,"Slowly sliding down towards the floor, not having the strength to stay up on my feet any longer, hearing the words `` It's time '' and thinking please no.",0,1,0,1,0
eng_train_track_a_00098,My eyes welled up with tears and my voice cracked.,0,1,0,1,0
eng_train_track_a_00099,"However, I made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture.",0,0,1,0,0
eng_train_track_a_00100,"Thankfully, he doesn't really hold grudges, so I think every day starts with a clean slate... Of course, like a normal human being, he has his limit, which I am trying REALLY REALLY hard to avoid reaching.Also, my throat is dry and hurting because I slept with my mouth wide open last night, and the two times I napped at the boy's house, I slept with it open, again.",0,1,0,0,0
eng_train_track_a_00101,""" ""look... out your window.",0,0,0,0,1
eng_train_track_a_00102,The silence cupped my ears where it was all I could see and hear.,0,1,0,1,0
eng_train_track_a_00103,"i'm happy that someone was there, but then again, there still is that part of me, driven deep down and rooted in the ground that keeps on whispering in my ear, `` in the end, all you got is you, remember that. ''",0,1,1,1,0
eng_train_track_a_00104,"So not an objection at the ceremony, but my wife's parents and brother didn't come to the ceremony at all out of objection to us getting hitched.",1,1,0,1,1
eng_train_track_a_00105,The stench hit me first.,0,1,0,0,1
eng_train_track_a_00106,It was the dance of my heart.,0,0,1,0,0
eng_train_track_a_00107,He gave me my love of science and education.,0,0,1,0,0
eng_train_track_a_00108,I thought it was a joke.,0,1,0,0,1
eng_train_track_a_00109,"I feel like my stomach's had a growth spurt, which leaves me aching and sore.",0,1,0,1,0
eng_train_track_a_00110,I got a little burn on my finger and it ticked me off.,1,1,0,1,0
eng_train_track_a_00111,I'm confused about it but keep pressing.,0,1,0,0,1
eng_train_track_a_00112,"The second time I saw her, she told me she was a registered sex offender.",1,1,0,1,1
eng_train_track_a_00113,"She was rude to our photographer, she was rude to a few guests, and to us.",1,0,0,0,0
eng_train_track_a_00114,"an hour after i got here my eyes swelled up and are so itchy, my athsma is ridiculous ( in vic i do nt even take medications!",0,1,0,1,0
eng_train_track_a_00115,"as usual, i feel like im carrying too much burdens in my heart.",0,1,0,1,0
eng_train_track_a_00116,"i hate the idea of not making progress, it breaks my heart to see time being wasted away, standing still-i hate the idea that i can not see the world.",1,1,0,1,0
eng_train_track_a_00117,But I spent two days reading and still didn't hit the end of this thread.,1,1,0,0,1
eng_train_track_a_00118,"But I was feeling really nervous, and my hands were sweaty.",0,1,0,0,0
eng_train_track_a_00119,and throw my hands in the air.,0,0,1,0,0
eng_train_track_a_00120,Then the cop shows up.,0,1,0,0,1
eng_train_track_a_00121,"Teetering for a moment, I caught myself from falling only to fling myself to my knees in the dirt.",0,1,0,0,0
eng_train_track_a_00122,"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,1,0,0,0
eng_train_track_a_00123,"I did as much time as I could on my feet for closing gate, but had to sit for stretch before cannon.",0,1,0,0,0
eng_train_track_a_00124,"The weather up there are super cozy, I went to wash my hand, the water are freezing!!!",0,1,0,0,0
eng_train_track_a_00125,"But the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone, and it's not a strain to smile.",0,0,1,0,0
eng_train_track_a_00126,"Nothing like the city to remind you that you are among humans and animals.ProActive Acne Shit Review: So, after only a week of using ProActive, I started to notice the difference in my skin.",0,0,1,0,0
eng_train_track_a_00127,She certainly has the right name... View at the glaciers in the distance.Me being silly... So I had a good morning before going to work and feeling the world-at least the hotel world-crumbling at my feet...,0,1,0,1,0
eng_train_track_a_00128,My heart beat so fast when the beautiful man give Yunho a peck on his left cheek.,0,1,1,0,0
eng_train_track_a_00129,The nightmares and fear were new and inexplicable.,0,1,0,1,1
eng_train_track_a_00130,I could feel my heart breaking into millions of pieces.,0,0,0,1,0
eng_train_track_a_00131,"The kissing and touching don't stop, they just get more... interesting.",0,0,1,0,1
eng_train_track_a_00132,"I was trying to concentrate on not falling, but I totally slipped and almost fell on my face.",0,1,0,0,1
eng_train_track_a_00133,"im not ashamed to say sometimes i have more fun clipping my nails, pumicing my feet, moisturizing my body and watching the Wedding Planner on TBS with a mask on my face while conditioning my hands and feet with special lotion and gloves & booties on.",0,0,1,0,0
eng_train_track_a_00134,We are earths last hope against extinction.,0,1,0,1,1
eng_train_track_a_00135,Went to a party at a friends house.,0,0,1,0,0
eng_train_track_a_00136,"Jimmy gently poured some into my mouth, dipping my head back and asking me to swallow.",0,0,0,0,0
eng_train_track_a_00137,Fast forward six months - I've moved to central Virginia for work.,0,0,1,0,0
eng_train_track_a_00138,( HUGE grin on my face now. ),0,0,1,0,0
eng_train_track_a_00139,"pops been moved out of icu now and he's going well, but now i've sprained my wrist... stupid hockey!",1,1,0,1,0
eng_train_track_a_00140,"I told them I felt a bit sick so they hurriedly put a sickbowl on my chest, then 10 seconds later I spewed up but a lot of it when all down my new white tshirt.",0,1,0,1,1
eng_train_track_a_00141,"Eventually the fridge was back in place and I had even managed to score a minor victory against my fear of fire extinguishers as I successfully moved it across the room ( the fear comes from one fell on my foot, long story! )",0,1,0,0,0
eng_train_track_a_00142,My jaw nearly dropped.,0,0,0,0,1
eng_train_track_a_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_a_00144,Not creepy but ghostly.,0,1,0,0,1
eng_train_track_a_00145,"What came out of my mouth was: ""Because white reigns supreme.",1,1,0,1,1
eng_train_track_a_00146,"Don't walk away, I'm talking to you, there's bruises on my face.",1,1,0,1,0
eng_train_track_a_00147,as i go to take the hook out of my 4th fish... it shakes and embeds the hook in my hand.,1,1,0,1,1
eng_train_track_a_00148,I saw peppermint patties.,0,0,1,0,1
eng_train_track_a_00149,It better not be for my parenting.,1,1,0,0,0
eng_train_track_a_00150,Can I add a bridesmaid-zilla story?,0,0,1,0,1
eng_train_track_a_00151,We ended up keeping the old house and renting it out though.,0,0,1,0,0
eng_train_track_a_00152,"Most mornings I drift in and out, slowly shaking off the fuddle of sleep but yesterday I was right there with my eyes wide open and the clock saying eight.",0,0,1,0,0
eng_train_track_a_00153,`` My God $ '' `` What's wrong with my arm? '',0,1,0,0,1
eng_train_track_a_00154,Could be wrong though.,0,1,0,0,0
eng_train_track_a_00155,"Every movement of the body below my waist caused pain, in such a way that I could anticipate it and, with a bit of understanding, even cope.",0,1,0,1,0
eng_train_track_a_00156,First day of school.,0,1,1,0,0
eng_train_track_a_00157,"She opened the door of the moving vehicle, jumped out, and landed on her feet.",0,1,1,0,1
eng_train_track_a_00158,My mouth by then like cardboard.,0,0,0,0,0
eng_train_track_a_00159,I was scared shitless.,0,1,0,0,1
eng_train_track_a_00160,Not a single soul.,0,1,0,1,1
eng_train_track_a_00161,"As the blood seems to return to my head, I can think clearly and muster the energy to keep going.",0,1,1,0,0
eng_train_track_a_00162,"I fell out of a tree earlier today, and landed on my head after about an eight foot drop onto concrete.",0,1,0,1,1
eng_train_track_a_00163,"But well need large plastic bags, I dont know where to get those.",0,1,0,0,0
eng_train_track_a_00164,I wish I had.,0,0,0,1,0
eng_train_track_a_00165,"the next thing i knew, i felt this huge impact on my head, and then a few more after that.",0,1,0,0,1
eng_train_track_a_00166,"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
eng_train_track_a_00167,she was very wrong.,1,0,0,0,0
eng_train_track_a_00168,They seemed quit some distance away from me.,0,1,0,0,0
eng_train_track_a_00169,My back is jacked up again.,1,1,0,1,0
eng_train_track_a_00170,"Of course, I could have soaked my hand in a bucket for a couple of hours, but that's not the case here.",0,0,0,0,0
eng_train_track_a_00171,As he approached the edge of it he took to prep hops.,0,1,0,0,1
eng_train_track_a_00172,"In silence, I prayed and searched my heart....",0,1,0,1,0
eng_train_track_a_00173,I couldnt walk without tripping over her.,1,1,0,0,0
eng_train_track_a_00174,You know the ones?,0,0,0,0,1
eng_train_track_a_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,1,0,0
eng_train_track_a_00176,"We could have been part of organized crime, but my grandpa (who died before I was born) didn't want any part of it and decided to live an honest life.",0,0,1,1,1
eng_train_track_a_00177,They hooked me up to an IV to give me some medicine ( not sure what kind ) and gave me a shot of adrenaline to try to get the swelling in my throat down.,0,1,0,0,0
eng_train_track_a_00178,I remembered back to last week when my neck was really hurting.,0,1,0,1,0
eng_train_track_a_00179,"The form itself did not shed any light, but was light.",0,0,0,0,1
eng_train_track_a_00180,"It was just a knick, but and the blood $ The rain was cold, but my tears were hot against my cheeks.",0,1,0,1,0
eng_train_track_a_00181,"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.",0,1,0,1,0
eng_train_track_a_00182,"This is typical, as they need to justify their existence.",1,0,0,0,0
eng_train_track_a_00183,Seemingly because the bartenders were very heavy handed.,1,0,0,0,0
eng_train_track_a_00184,& # x 26; nbsp; I folded my arms on the table and rested my head on my hands-but in a few moments there was a lot of tension in my jaw from this positon.,0,1,0,0,0
eng_train_track_a_00185,My pride hurt worse than my leg did.,1,0,0,1,0
eng_train_track_a_00186,On Sunday I tucked the new license plates under my arm and headed out to the garage to find the duck tool.,0,0,0,0,0
eng_train_track_a_00187,Blotted out the moon.,0,1,0,0,1
eng_train_track_a_00188,My hand hurt so bad afterwards.,0,1,0,0,0
eng_train_track_a_00189,I had just had a procedure done to implant an Intrathecal Baclofen Pump in my belly.,0,1,0,0,0
eng_train_track_a_00190,"Last I heard, that other guy was homeless and dead.",0,1,0,1,1
eng_train_track_a_00191,With sudden resolution I took my hands from the rail.,0,0,0,0,0
eng_train_track_a_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00193,I felt a slight heat creep over my cheeks and I giggled lightly coming back to the thought that he was all mine.,0,0,1,0,0
eng_train_track_a_00194,"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,1,0
eng_train_track_a_00195,"After the deception, but before the divorce.",1,1,0,1,0
eng_train_track_a_00196,It just... went away.,0,1,0,1,1
eng_train_track_a_00197,"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",0,0,1,0,0
eng_train_track_a_00198,"Stuck in this place, With the world rushing by, Tears stream down my face, As I stand here, waiting to die.",0,1,0,1,0
eng_train_track_a_00199,the cold outside feels so good on my skin.,0,0,1,0,0
eng_train_track_a_00200,Several times in the last couple weeks I've had to scratch my head cleverly for a few minutes trying to figure out how to get into my office.,0,1,0,0,0
eng_train_track_a_00201,"Now, I just sit there and nod my head, as I listen to the excuses people use to not make positive changes in their life.",0,0,0,0,0
eng_train_track_a_00202,"Not moving, not menacing.",0,1,0,0,0
eng_train_track_a_00203,The first thought that came into my head was that I needed to go to work as soon as possible.,0,1,0,0,0
eng_train_track_a_00204,A rather regular occurrence happened at night upstairs.,0,1,0,0,0
eng_train_track_a_00205,Spirit-search my heart,0,0,0,0,0
eng_train_track_a_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_a_00207,"So many things were going on in my life, in my head and in my heart that I just couldn't write any of them down.",0,1,0,1,0
eng_train_track_a_00208,It felt so real that I actually woke up.,0,1,0,0,1
eng_train_track_a_00209,My ex-boyfriend was just a horrible liar.,1,0,0,1,0
eng_train_track_a_00210,The police were trying to calm him down.,0,1,0,0,0
eng_train_track_a_00211,My brain stops and then I feel like conking out.,0,1,0,1,0
eng_train_track_a_00212,Your son is not liking the strap around my belly. '',0,1,0,0,0
eng_train_track_a_00213,At one point it even came up to my foot to nibble on the grass near my toes.,0,0,1,0,0
eng_train_track_a_00214,But it was good; it kept me on my feet for a long while.Knee?,0,0,1,0,0
eng_train_track_a_00215,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",1,1,0,1,0
eng_train_track_a_00216,"Well I make it about 2 miles from my apartment when I notice a small drop on my arm and then another, I say uh oh I better get back then it starts to rain a little, then harder and harder, to the point that im soaked, even my shoes are filled with water.",0,1,0,1,0
eng_train_track_a_00217,"Last night I walked into my room ( without turning on the light switch ) and tripped over a laundry basket, and fell on my face.",0,1,0,1,1
eng_train_track_a_00218,I was completely dumbstruck.,0,0,0,0,1
eng_train_track_a_00219,"As I was placing them in the `` to be thrown out '' pile, something caught my eye and made me look closer.",0,0,0,0,1
eng_train_track_a_00220,"As I frantically grabbed at it to pull it up, I dropped EVERY SiNGLE THING in my hands.",1,1,0,0,1
eng_train_track_a_00221,"We always just thought she was scared of the dark, just like most kids are.",0,1,0,0,0
eng_train_track_a_00222,"She claimed I beat her, raped her, tortured, and abused her.",1,1,0,1,1
eng_train_track_a_00223,I had a lump in my throat several times.,0,1,0,1,0
eng_train_track_a_00224,I know last time I did this I hurt my back a little but I never learn I'm hard headed I wanted to burn up some more calories.,0,1,0,0,0
eng_train_track_a_00225,"It started out slow, like we'd fight once a month over stupid little things and sometimes big things.",1,1,0,1,0
eng_train_track_a_00226,I fell asleep with visions of 5 grand dancing in my head.,0,0,1,0,0
eng_train_track_a_00227,I will defend this to the grave.,1,0,0,0,0
eng_train_track_a_00228,Coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car.,0,1,0,0,1
eng_train_track_a_00229,Apparently the aftermath of the clogged toilet was pretty gruesome.,0,1,0,0,1
eng_train_track_a_00230,"Staring down at the device, I felt this cold chill start at the base of my neck and spread throughout my body.",0,1,0,0,1
eng_train_track_a_00231,It was funny because I thought I broke my arm.,0,1,1,0,1
eng_train_track_a_00232,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,1,0,1,1
eng_train_track_a_00233,i did nt drink cause my lungs were giving me problems but the rest did.,0,1,0,0,0
eng_train_track_a_00234,My heart melted.,0,0,1,0,0
eng_train_track_a_00235,Weird guy to say the least,0,1,0,0,1
eng_train_track_a_00236,"Even with an armed officer of the law at my back, it was a bit unnerving to open the front door.",0,1,0,0,0
eng_train_track_a_00237,The outer right side was throbbing in pain and shooting up to my ankle.,0,1,0,1,0
eng_train_track_a_00238,My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,0,1,0,0,1
eng_train_track_a_00239,I know that feel.,0,0,1,1,0
eng_train_track_a_00240,I will lose sleep.,0,1,0,1,0
eng_train_track_a_00241,Then we finally saw what was going on.,0,1,1,0,1
eng_train_track_a_00242,"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",0,1,0,0,0
eng_train_track_a_00243,"When they are near me I either scream, or my mind goes blank and I saw whatever pops into my head ( no... seriously, it's kind of sad.",0,1,0,1,0
eng_train_track_a_00244,For dessert and coffee we went to another cafe down the street.,0,0,1,0,0
eng_train_track_a_00245,Awkward lunch time... sometimes I think my mouth just kinda glues shut on me.,0,1,0,1,0
eng_train_track_a_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_a_00247,"I played around in the water, haha just my feet in the water though, it was too cold.",0,0,1,0,0
eng_train_track_a_00248,First college room mate ever.,0,0,1,0,1
eng_train_track_a_00249,And I can't breath through my nose.,0,1,0,0,0
eng_train_track_a_00250,"My head poked out of the grass again, catching sight of the men nearing my position, only about fifteen yards.",0,1,0,1,0
eng_train_track_a_00251,It was mutually beneficial.,0,0,1,0,0
eng_train_track_a_00252,Telling me I'm going to hell.,1,1,0,1,0
eng_train_track_a_00253,Only in my foot.,0,0,0,0,0
eng_train_track_a_00254,"I want to learn about you, communicate with you.",0,0,1,0,0
eng_train_track_a_00255,"I'd just started a new character on a different world than I usually play on, then this guy wants to join my party...",0,1,1,0,1
eng_train_track_a_00256,"amused So yeah, I broke my nose playing `` flag '' football yesterday.",0,0,0,1,0
eng_train_track_a_00257,His last days were spent in a cone.,0,0,0,1,0
eng_train_track_a_00258,"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",0,0,0,1,0
eng_train_track_a_00259,"I'm very very pale, and any bandages like that stick out like a dark brown blemish.",0,1,0,1,0
eng_train_track_a_00260,plus my knees look more hardcore in black and blue.,0,0,1,0,0
eng_train_track_a_00261,"My hands are usually cool, and I defend them, spouting `` Cold hands, warm heart! ''",0,0,1,0,0
eng_train_track_a_00262,"There were dozens of us, crying, screaming, or in shock.",0,1,0,1,1
eng_train_track_a_00263,3.Woke up from a horrible dream of my ex boyfriend with his new girlfriend.,1,1,0,1,0
eng_train_track_a_00264,"My throat is now only a dull ache ( as one nurse said, strep throat is the throat you don't forget, boy was she right! )",0,1,0,1,0
eng_train_track_a_00265,I stopped a couple times to stretch out my calves and quads.,0,0,0,0,0
eng_train_track_a_00266,my stomach is all out of whack.,0,1,0,0,0
eng_train_track_a_00267,"They are so pillowy that when I get in the car, while she cheers at me, she actually lifts her fat pillow, let me sit next to her, and then drops her huge mountain of fat on my thigh.",0,0,0,0,0
eng_train_track_a_00268,"I pulled it up, still heard the gushing sound, so I turned my head, and the other one stopped immediately.",0,1,0,0,0
eng_train_track_a_00269,The house is trashed.,1,1,0,1,0
eng_train_track_a_00270,They immediately started shooting meth and heroin.,1,1,0,1,1
eng_train_track_a_00271,Scary going up but terrifying going down into awful LA traffic.,0,1,0,0,0
eng_train_track_a_00272,"The part my grandfather said was broken and would lead to his doom, was broken.",0,1,0,1,1
eng_train_track_a_00273,"We first met hatred was in my eyes, I Didn't want anything to do with you, lies.",1,1,0,1,0
eng_train_track_a_00274,Most I've met off Craigslist.,0,1,0,0,1
eng_train_track_a_00275,I had been AWAKE.,0,1,0,0,1
eng_train_track_a_00276,We wanted to put off going down route thumper (Never went through without being hit) well we had too anyway.,0,1,0,0,0
eng_train_track_a_00277,"I had an ant crawling on my elbow just now, and I flicked him off.",0,1,0,0,0
eng_train_track_a_00278,"in the back of my head, i was like great.",0,0,0,0,0
eng_train_track_a_00279,She commented on everything that went into my mouth.,1,0,0,0,0
